PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,1,22,1,0,521171,7.25,0,3
2,1,1,0,38,1,0,17599,71.2833,3,1
3,1,3,0,26,0,0,23101282,7.925,0,3
4,1,1,0,35,1,0,113803,53.1,3,3
5,0,3,1,35,0,0,373450,8.05,0,3
6,0,3,1,25,0,0,330877,8.4583,0,2
7,0,1,1,54,0,0,17463,51.8625,5,3
8,0,3,1,2,3,1,349909,21.075,0,3
9,1,3,0,27,0,2,347742,11.1333,0,3
10,1,2,0,14,1,0,237736,30.0708,0,1
11,1,3,0,4,1,1,9549,16.7,7,3
12,1,1,0,58,0,0,113783,26.55,3,3
13,0,3,1,20,0,0,52151,8.05,0,3
14,0,3,1,39,1,5,347082,31.275,0,3
15,0,3,0,14,0,0,350406,7.8542,0,3
16,1,2,0,55,0,0,248706,16,0,3
17,0,3,1,2,4,1,382652,29.125,0,2
18,1,2,1,28,0,0,244373,13,0,3
19,0,3,0,31,1,0,345763,18,0,3
20,1,3,0,22,0,0,2649,7.225,0,1
21,0,2,1,35,0,0,239865,26,0,3
22,1,2,1,34,0,0,248698,13,4,3
23,1,3,0,15,0,0,330923,8.0292,0,2
24,1,1,1,28,0,0,113788,35.5,1,3
25,0,3,0,8,3,1,349909,21.075,0,3
26,1,3,0,38,1,5,347077,31.3875,0,3
27,0,3,1,25,0,0,2631,7.225,0,1
28,0,1,1,19,3,2,19950,263,3,3
29,1,3,0,22,0,0,330959,7.8792,0,2
30,0,3,1,25,0,0,349216,7.8958,0,3
31,0,1,1,40,0,0,17601,27.7208,0,1
32,1,1,0,35,1,0,17569,146.5208,2,1
33,1,3,0,22,0,0,335677,7.75,0,2
34,0,2,1,66,0,0,24579,10.5,0,3
35,0,1,1,28,1,0,17604,82.1708,0,1
36,0,1,1,42,1,0,113789,52,0,3
37,1,3,1,22,0,0,2677,7.2292,0,1
38,0,3,1,21,0,0,52152,8.05,0,3
39,0,3,0,18,2,0,345764,18,0,3
40,1,3,0,14,1,0,2651,11.2417,0,1
41,0,3,0,40,1,0,7546,9.475,0,3
42,0,2,0,27,1,0,11668,21,0,3
43,0,3,1,25,0,0,349253,7.8958,0,1
44,1,2,0,3,1,2,2123,41.5792,0,1
45,1,3,0,19,0,0,330958,7.8792,0,2
46,0,3,1,25,0,0,423567,8.05,0,3
47,0,3,1,25,1,0,370371,15.5,0,2
48,1,3,0,22,0,0,14311,7.75,0,2
49,0,3,1,25,2,0,2662,21.6792,0,1
50,0,3,0,18,1,0,349237,17.8,0,3
51,0,3,1,7,4,1,3101295,39.6875,0,3
52,0,3,1,21,0,0,439886,7.8,0,3
53,1,1,0,49,1,0,17572,76.7292,4,1
54,1,2,0,29,1,0,2926,26,0,3
55,0,1,1,65,0,1,113509,61.9792,2,1
56,1,1,1,35,0,0,19947,35.5,3,3
57,1,2,0,21,0,0,31026,10.5,0,3
58,0,3,1,28.5,0,0,2697,7.2292,0,1
59,1,2,0,5,1,2,34651,27.75,0,3
60,0,3,1,11,5,2,2144,46.9,0,3
61,0,3,1,22,0,0,2669,7.2292,0,1
62,1,1,0,38,0,0,113572,80,2,0
63,0,1,1,45,1,0,36973,83.475,3,3
64,0,3,1,4,3,2,347088,27.9,0,3
65,0,1,1,45.25,0,0,17605,27.7208,0,1
66,1,3,1,22,1,1,2661,15.2458,0,1
67,1,2,0,29,0,0,29395,10.5,6,3
68,0,3,1,19,0,0,3464,8.1583,0,3
69,1,3,0,17,4,2,3101281,7.925,0,3
70,0,3,1,26,2,0,315151,8.6625,0,3
71,0,2,1,32,0,0,33111,10.5,0,3
72,0,3,0,16,5,2,2144,46.9,0,3
73,0,2,1,21,0,0,14879,73.5,0,3
74,0,3,1,26,1,0,2680,14.4542,0,1
75,1,3,1,32,0,0,1601,56.4958,0,3
76,0,3,1,25,0,0,348123,7.65,6,3
77,0,3,1,25,0,0,349208,7.8958,0,3
78,0,3,1,25,0,0,374746,8.05,0,3
79,1,2,1,0.83,0,2,248738,29,0,3
80,1,3,0,30,0,0,364516,12.475,0,3
81,0,3,1,22,0,0,345767,9,0,3
82,1,3,1,29,0,0,345779,9.5,0,3
83,1,3,0,22,0,0,330932,7.7875,0,2
84,0,1,1,28,0,0,113059,47.1,0,3
85,1,2,0,17,0,0,14885,10.5,0,3
86,1,3,0,33,3,0,3101278,15.85,0,3
87,0,3,1,16,1,3,6608,34.375,0,3
88,0,3,1,25,0,0,392086,8.05,0,3
89,1,1,0,23,3,2,19950,263,3,3
90,0,3,1,24,0,0,343275,8.05,0,3
91,0,3,1,29,0,0,343276,8.05,0,3
